;'Proc. Orig';'Placa';'Chassi';'Marca/Modelo';'Classificação';'Ano';'Despesas (GAD)';'Recolhimento com multa (elimina isenção)';'Origem';'Ano de Entrada';'Data Entrada';'Data Saída';'Tempo em depósito (dias)';'Diárias limitadas a 183 dias';' Valor da taxa da diária ';' Valor total diárias ';' Valor da Taxa de remoção ';' Valor total da GAD ';' Valor CRD (somente Diárias) ';' Valor Devido da GAD (Detran) ';'Tempo Depósito (anos)';'Valor FIPE';'Peso (Kg)';'Valor Kg X 40% (devido ao DETRAN)';' Valor Casco p/ Veículo ';'Classificação';'Valor total da GAD +  Valor Casco p/Veículo';' Valor Total Devido pelo CRD  '
1;2002019802;'DBP1743';'9BWEC05X82P504556';'VW/SAVEIRO 1.8';'veículos em geral';2001;'0-Sem isenção';;'2-Base Nacional (BIN)';;28/5/2002;4/9/2019;6308;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';17;14.754,00;800;;' 14.754,00 ';'FIPE';' 20.351,58 ';' 16.836,15 '
2;2002018619;'ICY0349';'9BG5JK11ZEB041307';'GM/MONZA';'veículos em geral';;'0-Sem isenção';;'4-Irregular - Alterado';;26/11/2002;4/9/2019;6126;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';'IRREG';;800;0,124;' 99,20 ';'MI';' 5.696,78 ';' 2.181,35 '
3;2003011942;;;'VW BRASILIA';'veículos em geral';;'0-Sem isenção';;'5-Irregular - Incluído';;28/2/2003;4/9/2019;6032;183;' 29,04 ';' 5.314,32 ';' 283,26 ';' 5.597,58 ';' 3.515,43 ';' 2.082,15 ';'IRREG';;800;0,124;' 99,20 ';'MI';' 5.696,78 ';' 2.181,35 '
4;2003024495;'III3939';'9C64LR100W0008543';'YAMAHA/DT 200R';'Motocicletas';1998;'0-Sem isenção';;'0-Identificado';;9/5/2003;4/9/2019;5962;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';16;4.685,00;80;;' 4.685,00 ';'FIPE';' 9.162,69 ';' 6.351,81 '
5;2003025571;;;'MONARK /MOTOCICLETA';'Motocicletas';;'0-Sem isenção';;'5-Irregular - Incluído';;13/5/2003;4/9/2019;5958;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
6;2003042387;;'9C2JC30103R25150';'CG 125 TITAN';'Motocicletas';;'5-A disposição da Polícia';;'5-Irregular - Incluído';;5/7/2003;4/9/2019;5905;0;' 23,23 ';' -   ';' -   ';' -   ';' -   ';' -   ';'IRREG';;80;0,124;' 9,92 ';'MI';' 9,92 ';' 9,92 '
7;2003075744;'IGL7104';'9C2JD0801KR500248';'HONDA/XL 125 DUTY';'Motocicletas';1988;'0-Sem isenção';;'1-Base Estadual';;27/10/2003;4/9/2019;5791;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';15;3.004,27;80;;' 3.004,27 ';'FIPE';' 7.481,96 ';' 4.671,08 '
8;2003077842;'XX0000';'JKBDXBA19VA006810';'KAWASAKI/ KDX 220';'Motocicletas';;'0-Sem isenção';;'4-Irregular - Alterado';;3/11/2003;4/9/2019;5784;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
9;2003087068;;'021305H02';'AGRALE/SL';'Motocicletas';;'0-Sem isenção';;'5-Irregular - Incluído';;9/12/2003;4/9/2019;5748;183;' 23,23 ';' 4.251,09 ';' 226,60 ';' 4.477,69 ';' 2.810,88 ';' 1.666,81 ';'IRREG';;80;0,124;' 9,92 ';'MI';' 4.487,61 ';' 1.676,73 '
10;2004003101;'IIA0682';'BA783571';'VW/BRASILIA';'veículos em geral';1979;'1-Veículo Furtado / Roubado';;'1-Base Estadual';;13/1/2004;4/9/2019;5713;0;' 29,04 ';' -   ';' -   ';' -   ';' -   ';' -   ';15;;800;0,124;' 99,20 ';'MI';' 99,20 ';' 99,20 '
